Heat Cell									
PS3	min	sek	ms	ms	Speedup	Procent	Optimal		
Ref		52	971	52971					
1		52	971	52971	1,000	100,00%	1		
2		55	937	55937	0,947	94,70%	2		
3	1	0	332	60332	0,878	87,80%	3		
4	1	14	676	74676	0,709	70,93%	4		
5	1	26	618	86618	0,612	61,15%	5		
6	1	34	850	94850	0,558	55,85%	6		
7	1	51	528	111528	0,475	47,50%	12		
8	2	11	493	131493	0,403	40,28%	18		
									
Heat Cell									
PS3	min	sek	ms	ms	Speedup	Procent	Optimal		
Ref	39	21	816	2361816					
6	39	21	816	2361816	1,000	100,00%	1		
12	41	16	474	2476474	0,954	95,37%	2		
18	42	0	546	2520546	0,937	93,70%	3		
24	44	27	558	2667558	0,885	88,54%	4		
